Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
H4,Long,USD/JPY,486025,1,2007-10-18 22:00,2007-10-22 01:00,115.6130,113.7650,-13.54,0.00,Reverse
H4,Short,USD/JPY,488434,1,2007-10-22 01:00,2007-10-22 05:00,113.7650,114.0890,-2.37,0.00,Reverse
H1,Long,SPX500,487931,1,2007-10-19 17:00,2007-10-22 05:00,1520.50,1489.20,-27.26,0.00,Reverse
H1,Long,USD/JPY,487930,1,2007-10-19 17:00,2007-10-22 06:00,115.1400,114.1800,-7.03,0.00,Reverse
H1,Short,EUR/USD,488232,1,2007-10-21 23:00,2007-10-22 11:00,1.43304,1.42089,12.15,0.00,Reverse
H1,Short,USD/JPY,488937,1,2007-10-22 06:00,2007-10-22 20:00,114.1800,114.3000,-0.88,0.00,Reverse
H1,Short,SPX500,488836,1,2007-10-22 05:00,2007-10-22 20:00,1489.20,1507.40,-15.85,0.00,Reverse
H4,Long,USD/JPY,488835,1,2007-10-22 05:00,2007-10-22 21:00,114.0890,114.5600,3.45,0.00,Reverse
H1,Long,EUR/USD,489438,1,2007-10-22 11:00,2007-10-22 23:00,1.42089,1.41789,-3.00,0.00,Reverse
H4,Long,SPX500,484819,1,2007-10-18 10:00,2007-10-23 01:00,1545.20,1511.10,-29.70,0.00,Reverse
H1,Long,USD/JPY,490339,1,2007-10-22 20:00,2007-10-23 16:00,114.3000,114.6600,2.64,0.00,Reverse
H1,Short,EUR/USD,490642,1,2007-10-22 23:00,2007-10-23 18:00,1.41789,1.42447,-6.58,0.00,Reverse
H1,Long,SPX500,490340,1,2007-10-22 20:00,2007-10-23 21:00,1507.40,1514.20,5.92,0.00,Reverse
H4,Long,EUR/USD,488433,1,2007-10-22 01:00,2007-10-24 01:00,1.43341,1.42539,-8.02,0.00,Reverse
H1,Short,USD/JPY,492344,1,2007-10-23 16:00,2007-10-24 05:00,114.6600,114.4350,1.65,0.00,Reverse
H4,Short,USD/JPY,490441,1,2007-10-22 21:00,2007-10-24 13:00,114.5600,114.2700,2.12,0.00,Reverse
H1,Short,SPX500,492846,1,2007-10-23 21:00,2007-10-24 17:00,1514.20,1497.40,14.63,0.00,Reverse
H4,Short,SPX500,490843,1,2007-10-23 01:00,2007-10-24 17:00,1511.10,1497.40,11.93,0.00,Reverse
H1,Long,SPX500,494851,1,2007-10-24 17:00,2007-10-25 23:00,1497.40,1519.40,19.16,0.00,Reverse
H1,Long,USD/JPY,493648,1,2007-10-24 05:00,2007-10-26 05:00,114.4350,114.2780,-1.15,0.00,Reverse
H1,Short,SPX500,497853,1,2007-10-25 23:00,2007-10-26 07:00,1519.40,1520.50,-0.96,0.00,Reverse
H4,Long,USD/JPY,494450,1,2007-10-24 13:00,2007-10-26 09:00,114.2700,114.3400,0.51,0.00,Reverse
H1,Long,EUR/USD,492545,1,2007-10-23 18:00,2007-10-26 10:00,1.42447,1.43654,12.07,0.00,Reverse
H1,Short,USD/JPY,498454,1,2007-10-26 05:00,2007-10-26 13:00,114.2780,114.3700,-0.67,0.00,Reverse
H1,Long,SPX500,498655,1,2007-10-26 07:00,2007-10-26 14:00,1520.50,1526.70,5.40,0.00,Reverse
H4,Long,SPX500,494852,1,2007-10-24 17:00,2007-10-29 00:00,1497.40,1538.00,35.36,0.00,Reverse
H1,Long,USD/JPY,499258,1,2007-10-26 13:00,2007-10-29 04:00,114.3700,114.1600,-1.54,0.00,Reverse
H1,Short,EUR/USD,498957,1,2007-10-26 10:00,2007-10-29 05:00,1.43654,1.44149,-4.95,0.00,Reverse
H1,Short,SPX500,499359,1,2007-10-26 14:00,2007-10-29 05:00,1526.70,1541.20,-12.63,0.00,Reverse
H1,Long,EUR/USD,500562,1,2007-10-29 05:00,2007-10-29 20:00,1.44149,1.44279,1.30,0.00,Reverse
H4,Short,EUR/USD,493247,1,2007-10-24 01:00,2007-10-29 20:00,1.42539,1.44279,-17.40,0.00,Reverse
H1,Long,SPX500,500563,1,2007-10-29 05:00,2007-10-29 20:00,1541.20,1540.50,-0.61,0.00,Reverse
H1,Short,USD/JPY,500461,1,2007-10-29 04:00,2007-10-29 22:00,114.1600,114.6410,-3.52,0.00,Reverse
H1,Short,EUR/USD,502064,1,2007-10-29 20:00,2007-10-30 04:00,1.44279,1.44077,2.02,0.00,Reverse
H1,Long,EUR/USD,502868,1,2007-10-30 04:00,2007-10-30 11:00,1.44077,1.43923,-1.54,0.00,Reverse
H4,Short,SPX500,500060,1,2007-10-29 00:00,2007-10-30 12:00,1538.00,1534.90,2.70,0.00,Reverse
H1,Long,USD/JPY,502267,1,2007-10-29 22:00,2007-10-30 13:00,114.6410,114.8100,1.24,0.00,Reverse
H1,Short,SPX500,502066,1,2007-10-29 20:00,2007-10-30 16:00,1540.50,1532.90,6.62,0.00,Reverse
H1,Long,SPX500,504072,1,2007-10-30 16:00,2007-10-30 20:00,1532.90,1530.70,-1.92,0.00,Reverse
H1,Short,SPX500,504473,1,2007-10-30 20:00,2007-10-30 22:00,1530.70,1529.90,0.70,0.00,Reverse
H1,Short,USD/JPY,503771,1,2007-10-30 13:00,2007-10-31 00:00,114.8100,114.7890,0.15,0.00,Reverse
H1,Short,EUR/USD,503569,1,2007-10-30 11:00,2007-10-31 01:00,1.43923,1.44359,-4.36,0.00,Reverse
